knaw	knaws	knawing	knawed	knawn
kneel	kneels	kneeling	knelt	knelt
knit	knits	knitting	knit	knit
know	knows	knowing	knew	known
KO	KO's	KO'ing	KO'd	KO'd
lade	lades	lading	laded	laden
lay	lays	laying	laid	laid
lead	leads	leading	led	led
leave	leaves	leaving	left	left
lend	lends	lending	lent	lent
let	lets	letting	let	let
lie	lies	lying	lay	lain
light	lights	lighting	lit	lit
limp	limps	limping	lamp	lump
list	lists	listing	list	list
lose	loses	losing	lost	lost
lowp	lowps	lowping	lowpt	lowpt
luv	luvz	luving	luvd	luvd
make	makes	making	made	made
may	may	-	might	-
mayn't	mayn't	-	mightn't	-
mean	means	meaning	meant	meant
meet	meets	meeting	met	met
memba	membas	membaing	memba'd	memba'd
met	-	-	met	-
midwife	midwives	midwiving	midwived	midwived
might	might	-	might	-
misbeat	misbeats	misbeating	misbeat	misbeat
misbede	misbedes	misbeding	misbode	misboden
misbid	misbids	misbidding	misbid	misbidden
misget	misgets	misgetting	misgot	misgotten
misspell	misspells	misspelling	misspelt	misspelt
miswed	misweds	miswedding	miswed	miswed
miswend	miswends	miswending	miswent	miswent
moonrun	moonruns	moonrunning	moonran	moonran
moove	mooves	mooving	moovd	moovd
mote	mote	-	must	must
must	must	-	must	-
myek	myeks	myekin	made	made
nominify	nominifies	nominified	nominifying	nominifying
nutshot	nutshots	nutshotting	nutshot	nutshot
outlean	outleans	outleaning	outleant	outleant
outleap	outleaps	outleaping	outleapt	outleapt
outrive	outrives	outriving	outrove	outriven
outsweat	outsweats	outsweating	outsweat	outsweat
overbide	overbides	overbiding	overbode	overbidden
overfreight	overfreights	overfreighting	overfreighted	overfraught
overget	overgets	overgetting	overgot	overgotten
overheal	overheals	overhealing	overhole	overholen
overheave	overheaves	overheaving	overhove	overhoven
overhend	overhends	overhending	overhent	overhent
overlean	overleans	overleaning	overleant	overleant
overnim	overnims	overnimming	overnam	overnum
overstraw	overstraws	overstrawing	overstrawed	overstrawn
overstride	overstrides	overstriding	overstrode	overstrode
overtread	overtreads	overtreading	overtrod	overtrodden
pay	pays	paying	paid	paid
pisstake	pisstakes	pisstaking	took the piss	taken the piss
platitudise	platitudinises	platitudinising	platitudinised	platitudinised
precum	precums	precumming	precame	precum
prepay	prepays	prepaying	prepaid	prepayed
præfix	præfixes	præfixing	præfix’d	præfix’d
put	puts	putting	put	put
putt	putts	putting	putt	putt
quartersaw	quartersaws	quartersawing	quartersawed	quartersawn
quit	quits	quitting	quit	quit
quoth	quoth	-	quoth	quoth
read	reads	reading	read	read
reave	reaves	reaving	reft	reft
redd	redds	redding	redd	redd
rede	redes	reding	red	red
rehew	rehews	rehewing	rehewed	rehewn
rend	rends	rending	rent	rent
reprove	reproves	reproving	reproved	reproven
resaw	resaws	resawing	resawed	resawn
retread	retreads	retreading	retrod	retrodden
rewed	reweds	rewedding	rewed	rewed
rid	rids	ridding	rid	rid
ride	rides	riding	rode	ridden
rin	rins	rinning	ran	run
ring	rings	ringing	rang	rung
rise	rises	rising	rose	risen
roboticise	automatises	automatising	automatised	automatised
run	runs	running	ran	run
say	says	saying	said	said
scomfit	scomfits	scomfiting	scomfit	scomfit
see	sees	seeing	saw	seen
seech	seeches	seeching	sought	sought
seek	seeks	seeking	sought	sought
sell	sells	selling	sold	sold
send	sends	sending	sent	sent
set	sets	setting	set	set
sew	sews	sewing	sewed	sewn
shake	shakes	shaking	shook	shaken
shall	shall	-	should	-
shear	shears	shearing	sheared	shorn
shed	sheds	shedding	shed	shed
shend	shends	shending	shent	shent
shine	shines	shining	shone	shone
shoe	shoes	shoeing	shod	shodden
shoot	shoots	shooting	shot	shot
show	shows	showing	showed	shown
shrink	shrinks	shrinking	shrank	shrunk
shrinke	shrinkes	shrinking	shrank	shrunke
shrithe	shrithes	shrithing	shrothe	shrithen
shut	shuts	shutting	shut	shut
sidecast	sidecasts	sidecasting	sidecasted	sidecast
sing	sings	singing	sang	sung
sink	sinks	sinking	sank	sunk
sit	sits	sitting	sat	sat
slay	slays	slaying	slew	slain
sleep	sleeps	sleeping	slept	slept
slide	slides	sliding	slid	slid
sling	slings	slinging	slung	slung
slingshoot	slingshoots	slingshooting	slingshot	slingshotten
slink	slinks	slinking	slunk	slunk
slit	slits	slitting	slit	slit
slite	slites	sliting	slit	slit
slive	slives	sliving	slove	sliven
slivercast	slivercasts	slivercasting	slivercasted	slivercast
smite	smites	smiting	smote	smitten
sow	sows	sowing	sowed	sown
speak	speaks	speaking	spoke	spoken
speed	speeds	speeding	sped	sped
speld	spelds	spelding	speld	speld
spend	spends	spending	spent	spent
spin	spins	spinning	spun	spun
spit	spits	spitting	spat	spat
split	splits	splitting	split	split
spred	spreds	spredding	spred	spred
stand	stands	standing	stood	stood
standoff	stands off	standing off	stood off	stood off
stave	staves	staving	stove	stove
steal	steals	stealing	stole	stolen
steale	steales	stealing	stole	stolen
stick	sticks	sticking	stuck	stuck
sting	stings	stinging	stung	stung
stink	stinks	stinking	stank	stunk
strew	strews	strewing	strewed	strewn
strike	strikes	striking	struck	struck
strikethrough	strikesthrough	strikingthrough	struckthrough	struckthrough
string	strings	stringing	strung	strung
strive	strives	striving	strove	striven
strow	strows	strowing	strowed	strown
submodify	submodifies	submodifying	submodifyied	submodifyied
subpœna	subpœnas	subpœnaing	subpœnæd	subpœnæd
surbeat	surbeats	surbeating	surbeated	surbeaten
swallie	swallies	swallyin	swallit	swallit
sweare	sweares	swearing	swore	sworne
swell	swells	swelling	swelled	swollen
swike	swikes	swiking	swoke	swicken
swim	swims	swimming	swam	swum
swing	swings	swinging	swung	swung
swink	swinks	swinking	swank	swunk
sync	syncs	synching	synched	synched
TA	TAs	TAing	TAd	TAd
take	takes	taking	took	taken
teach	teaches	teaching	taught	taught
tear	tears	tearing	tore	torn
tell	tells	telling	told	told
thair	thair	-	thurst	thurst
thinck	thincks	thincking	thought	thought
think	thinks	thinking	thought	thought
thinke	thinkes	thinking	thought	thought
thrive	thrives	thriving	throve	thriven
throw	throws	throwing	threw	thrown
thrust	thrusts	thrusting	thrust	thrust
thunderstrike	thunderstrikes	thunderstriking	thunderstruck	thunderstricken
tocleave	tocleaves	tocleaving	toclove	tocloven
tohew	tohews	tohewing	tohewed	tohewn
torit	torits	toritting	torit	torit
torive	torives	toriving	torift	torift
toshear	toshears	toshearing	toshore	toshorn
totread	totreads	totreading	totrod	totrodden
tread	treads	treading	trod	trod
TUPE	TUPEs	TUPEing	TUPEd	TUPEd
tyek	tyeks	tyekin	teuk	tyeken
underget	undergets	undergetting	undergot	undergotten
undergoe	undergoes	undergoing	underwent	undergone
underly	underlies	underlying	underlay	underlain
unhelp	unhelps	unhelping	unholp	unholpen
unring	unrings	unringing	unrung	unrung
unsake	unsakes	unsaking	unsook	unsaken
unshit		unshitting	unshit	unshit
unwed	unweds	unwedding	unwed	unwed
updive	updives	updiving	updove	updove
uplean	upleans	upleaning	upleant	upleant
uppluck	upplucks	upplucking	upplight	upplight
upsot	upsots	upsotting	upsot	upsot
wake	wakes	waking	woke	woken
wayfare	wayfares	wayfaring	wayfore	wayfaren
wear	wears	wearing	wore	worn
weave	weaves	weaving	wove	woven
weep	weeps	weeping	wept	wept
wet	wets	wetting	wet	wet
whipsaw	whipsaws	whipsawing	whipsawed	whipsawn
win	wins	winning	won	won
wind	winds	winding	wound	wound
wis	wis	-	-	wist
withsake	withsakes	withsaking	withsook	withsaken
worth	worths	worthing	worth	worth
wring	wrings	wringing	wrung	wrung
write	writes	writing	wrote	written
writh	writh's	writhing	writh'd	writh'd
wuv	wuvz	wuving	wuvd	wuvd
yet	yets	yetting	yot	yotten
yive	yives	yiving	yave	yiven
